ID,Name,Email,Group,Pattern,Timing,Team,Is_Dropout,PS_Pre_Total,PS_Pre_Skill1,PS_Pre_Skill2,PS_Pre_Skill3,PS_Pre_Skill4,PS_Pre_Q01,PS_Pre_Q02,PS_Pre_Q03,PS_Pre_Q04,PS_Pre_Q05,PS_Pre_Q06,PS_Pre_Q07,PS_Pre_Q08,PS_Pre_Q09,PS_Pre_Q10,PS_Pre_Q11,PS_Pre_Q12,PS_Pre_Q13,PS_Pre_Q14,PS_Pre_Q15,PS_Pre_Q16,PS_Pre_Q17,PS_Pre_Q18,PS_Pre_Q19,PS_Pre_Q20,PS_Pre_Q21,PS_Pre_Q22,PS_Pre_Q23,PS_Pre_Q24,PS_Pre_Q25,PS_Pre_Q26,PS_Pre_Q27,PS_Pre_Q28,PS_Pre_Q29,PS_Pre_Q30,PS_Post_Total,PS_Post_Skill1,PS_Post_Skill2,PS_Post_Skill3,PS_Post_Skill4,PS_Post_Q01,PS_Post_Q02,PS_Post_Q03,PS_Post_Q04,PS_Post_Q05,PS_Post_Q06,PS_Post_Q07,PS_Post_Q08,PS_Post_Q09,PS_Post_Q10,PS_Post_Q11,PS_Post_Q12,PS_Post_Q13,PS_Post_Q14,PS_Post_Q15,PS_Post_Q16,PS_Post_Q17,PS_Post_Q18,PS_Post_Q19,PS_Post_Q20,PS_Post_Q21,PS_Post_Q22,PS_Post_Q23,PS_Post_Q24,PS_Post_Q25,PS_Post_Q26,PS_Post_Q27,PS_Post_Q28,PS_Post_Q29,PS_Post_Q30,Flow_Pre_Total,Flow_Pre_D1,Flow_Pre_D2,Flow_Pre_D3,Flow_Pre_D4,Flow_Pre_D5,Flow_Pre_D6,Flow_Pre_D7,Flow_Pre_D8,Flow_Pre_I01,Flow_Pre_I02,Flow_Pre_I03,Flow_Pre_I04,Flow_Pre_I05,Flow_Pre_I06,Flow_Pre_I07,Flow_Pre_I08,Flow_Pre_I09,Flow_Pre_I10,Flow_Pre_I11,Flow_Pre_I12,Flow_Pre_I13,Flow_Pre_I14,Flow_Pre_I15,Flow_Pre_I16,Flow_Pre_I17,Flow_Pre_I18,Flow_Pre_I19,Flow_Pre_I20,Flow_Pre_I21,Flow_Pre_I22,Flow_Pre_I23,Flow_Pre_I24,Flow_Pre_I25,Flow_Pre_I26,Flow_Pre_I27,Flow_Pre_I28,Flow_Pre_I29,Flow_Pre_I30,Flow_Pre_I31,Flow_Pre_I32,Flow_Pre_I33,Flow_Pre_I34,Flow_Pre_I35,Flow_Pre_I36,Flow_Pre_I37,Flow_Pre_I38,Flow_Pre_I39,Flow_Pre_I40,Flow_Pre_I41,Flow_Pre_I42,Flow_Pre_I43,Flow_Pre_I44,Flow_Pre_I45,Flow_Pre_I46,Flow_Pre_I47,Flow_Pre_I48,Flow_Pre_I49,Flow_Pre_I50,Flow_Pre_I51,Flow_Pre_I52,Flow_Pre_I53,Flow_Pre_I54,Flow_Pre_I55,Flow_Pre_I56,Flow_Post_Total,Flow_Post_D1,Flow_Post_D2,Flow_Post_D3,Flow_Post_D4,Flow_Post_D5,Flow_Post_D6,Flow_Post_D7,Flow_Post_D8,Flow_Post_I01,Flow_Post_I02,Flow_Post_I03,Flow_Post_I04,Flow_Post_I05,Flow_Post_I06,Flow_Post_I07,Flow_Post_I08,Flow_Post_I09,Flow_Post_I10,Flow_Post_I11,Flow_Post_I12,Flow_Post_I13,Flow_Post_I14,Flow_Post_I15,Flow_Post_I16,Flow_Post_I17,Flow_Post_I18,Flow_Post_I19,Flow_Post_I20,Flow_Post_I21,Flow_Post_I22,Flow_Post_I23,Flow_Post_I24,Flow_Post_I25,Flow_Post_I26,Flow_Post_I27,Flow_Post_I28,Flow_Post_I29,Flow_Post_I30,Flow_Post_I31,Flow_Post_I32,Flow_Post_I33,Flow_Post_I34,Flow_Post_I35,Flow_Post_I36,Flow_Post_I37,Flow_Post_I38,Flow_Post_I39,Flow_Post_I40,Flow_Post_I41,Flow_Post_I42,Flow_Post_I43,Flow_Post_I44,Flow_Post_I45,Flow_Post_I46,Flow_Post_I47,Flow_Post_I48,Flow_Post_I49,Flow_Post_I50,Flow_Post_I51,Flow_Post_I52,Flow_Post_I53,Flow_Post_I54,Flow_Post_I55,Flow_Post_I56,Task_M1,Task_M2,Task_M3,Task_M4,Task_M5,Task_Bonus,Task_Total,Task_Percentage,Task_Grade,Late_M1,Late_M2,Late_M3,Late_M4,Late_M5,Late_Count
STD-011,ريهام مصطفى,reham.mostafa5@gmail.com,1,1,2,0,0,19,5,4,4,6,1,0,0,1,0,1,1,0,0,0,1,1,1,0,1,1,1,1,1,1,0,0,1,1,1,0,1,1,0,1,22,5,5,4,8,1,0,1,1,0,1,1,1,1,1,1,1,0,0,1,0,1,0,1,1,0,0,1,1,1,1,1,1,1,1,173,20,20,24,19,25,26,20,19,3,3,3,3,2,3,3,2,3,3,3,3,3,3,3,3,3,4,4,3,4,3,3,3,3,2,3,2,3,3,4,4,4,4,3,3,4,4,4,3,4,4,2,3,3,3,3,3,3,2,2,4,3,3,2,3,231,29,30,29,30,29,26,29,29,4,4,4,4,4,4,5,4,4,4,5,5,4,4,4,5,4,4,5,4,3,5,4,4,5,4,4,4,4,4,4,5,4,4,4,4,3,4,4,4,4,3,5,4,4,4,4,4,4,4,4,4,5,4,4,4,72.5,73.6,66.9,65.2,75.0,0.0,353.2,70.6,C+,0,0,0.0,0.0,0.0,0
STD-012,منى جمال,mona.gamal.a@gmail.com,1,1,2,0,0,16,3,5,2,6,1,0,1,1,0,1,1,0,1,0,0,1,0,0,1,0,1,0,1,1,0,0,1,1,1,0,1,0,0,1,21,5,5,3,8,1,0,1,1,1,1,1,1,1,0,1,1,0,0,1,0,1,0,1,1,1,1,1,1,1,0,0,0,1,1,157,15,15,21,22,22,21,20,21,2,2,3,2,2,2,2,3,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,4,3,3,3,3,3,3,3,3,3,4,3,3,3,3,3,3,3,3,3,3,3,2,3,3,3,3,3,3,3,3,3,208,22,28,28,27,25,24,26,28,3,4,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,4,3,3,3,4,4,4,4,3,3,3,4,4,3,4,4,3,4,4,4,3,4,4,4,4,4,4,4,4,76.4,68.6,86.3,81.8,78.1,5.0,396.2,79.2,B,0,0,0.0,0.0,0.0,0
STD-013,سلمى عمر,salma.omar61@gmail.com,1,1,2,0,0,17,6,3,1,7,1,0,0,1,1,1,1,0,0,0,1,1,1,0,1,1,1,0,1,1,1,0,0,1,1,0,0,0,0,1,19,5,4,2,8,1,0,0,1,1,1,1,1,1,1,1,1,0,0,1,0,0,0,1,0,1,0,1,1,1,0,1,0,1,1,205,21,25,27,24,28,27,31,22,3,3,3,4,2,3,3,3,4,3,4,4,4,3,3,4,3,4,3,5,5,4,3,3,4,4,4,2,5,4,3,3,5,4,4,5,3,3,3,5,3,5,4,4,4,4,5,5,5,3,2,3,3,4,4,3,205,27,27,21,21,23,29,27,30,3,4,4,5,4,4,3,3,4,4,4,5,3,4,2,3,2,5,3,3,3,3,3,3,3,4,2,3,3,4,3,3,3,3,4,4,4,4,5,3,5,4,4,4,5,4,3,4,3,4,4,3,5,4,5,5,76.1,85.9,80.7,76.4,90.2,5.0,414.3,82.9,B+,0,0,0.0,0.0,0.0,0
STD-014,لمياء فتحي,lamiaa.fathy8@gmail.com,1,1,2,0,0,19,6,3,2,8,1,0,1,1,0,1,1,0,0,1,1,0,0,0,1,1,1,0,1,1,1,0,1,1,1,0,1,0,1,1,22,5,6,4,7,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,0,1,0,1,0,0,1,1,1,1,1,1,0,1,0,217,28,25,27,28,28,30,23,28,3,5,4,5,4,3,4,4,4,3,5,3,3,3,3,4,5,4,4,3,4,4,3,4,5,4,4,4,4,4,5,4,4,4,3,5,5,4,4,3,4,5,3,3,4,3,4,3,3,3,4,4,4,5,4,4,260,33,31,32,35,30,33,34,32,5,5,4,4,5,5,5,5,4,5,4,4,4,5,5,5,4,5,4,4,5,5,5,5,5,5,5,5,5,4,4,4,4,5,4,4,5,5,5,5,4,5,5,4,5,5,5,5,5,5,5,5,4,4,5,4,68.1,70.4,84.6,76.2,79.9,0.0,379.2,75.8,B,0,0,0.0,0.0,0.0,0
STD-015,أميرة ياسر,amira.yasser12@gmail.com,1,1,2,0,0,15,3,3,2,7,1,0,1,1,1,1,1,0,0,1,0,1,0,0,1,0,1,0,1,0,0,0,1,1,1,0,0,0,0,1,23,6,6,3,8,1,1,1,1,1,1,1,0,1,0,1,1,0,0,1,1,1,0,1,1,1,0,1,1,1,0,1,1,1,1,178,21,20,25,26,21,27,21,17,3,3,3,3,3,3,3,3,3,2,3,3,3,3,4,3,4,4,3,3,4,3,4,4,4,3,4,4,3,3,3,3,3,3,3,4,4,3,4,4,4,4,3,3,3,3,3,3,3,2,2,3,2,3,3,2,233,28,28,28,35,28,29,29,28,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,5,5,5,5,5,5,4,4,4,4,4,4,4,4,5,4,4,4,4,4,4,4,4,4,4,5,4,4,4,4,4,4,4,4,73.4,85.7,69.4,84.7,81.1,5.0,399.3,79.9,B,0,0,0.0,0.0,0.0,0
STD-016,حنان وليد,hanan.waleed.s@gmail.com,1,1,2,0,0,16,5,5,1,5,1,0,0,1,0,1,1,0,1,1,1,1,0,0,0,1,1,0,1,0,0,0,1,0,1,0,1,0,1,1,22,6,5,3,8,1,0,0,1,1,1,1,1,1,0,1,0,0,1,1,1,1,0,1,1,0,1,1,1,1,1,1,0,1,1,169,19,19,20,23,20,26,24,18,3,3,2,2,2,4,3,2,3,4,3,2,2,3,2,3,3,3,3,3,3,4,4,3,3,4,3,2,3,3,3,2,3,3,3,3,4,4,4,3,4,4,4,3,4,3,3,3,4,2,2,3,3,3,2,3,227,33,30,28,28,23,33,24,28,5,5,5,5,4,5,4,4,5,4,4,5,4,4,4,4,5,4,3,4,4,5,4,4,3,4,4,4,4,3,3,3,3,3,4,5,5,5,5,3,5,5,4,3,3,3,3,4,4,4,4,5,4,4,4,3,76.6,81.6,100.0,99.9,78.2,15.0,451.3,90.3,A+,0,0,0.0,0.0,0.0,0
STD-017,عبير خالد,abeer.khaled44@gmail.com,1,1,2,0,0,24,6,5,5,8,1,0,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,1,22,6,6,1,9,1,0,0,1,1,1,1,0,1,1,1,1,0,0,1,0,1,0,1,1,1,1,1,1,1,1,1,0,1,1,160,17,17,20,17,22,22,26,19,2,3,2,3,2,2,3,2,2,3,3,2,2,3,3,3,3,3,2,3,3,3,2,3,2,2,2,3,3,4,3,3,3,3,3,3,3,3,3,3,3,4,4,3,4,4,3,4,4,2,2,3,3,3,3,3,236,29,26,27,34,34,30,26,30,5,4,4,4,4,4,4,3,4,4,3,4,4,4,4,4,3,4,4,4,4,5,5,4,5,5,5,5,4,5,5,5,5,5,5,4,5,4,4,4,4,5,3,4,4,4,4,3,4,4,4,4,4,5,4,5,74.3,74.0,81.2,69.4,71.0,0.0,369.9,74.0,C+,0,0,0.0,0.0,0.0,0
STD-018,رشا أشرف,rasha.ashraf9@gmail.com,1,1,2,0,0,20,6,4,2,8,1,0,0,1,0,1,1,0,1,1,0,1,0,0,1,1,1,0,1,1,1,0,1,1,1,1,0,1,1,1,18,4,4,2,8,1,0,0,1,1,1,1,0,0,1,1,1,1,0,1,0,1,0,1,0,0,1,1,1,1,0,0,0,1,1,173,25,26,23,21,18,18,23,19,3,3,4,4,4,3,4,4,4,3,3,4,4,4,3,3,4,3,3,3,4,3,3,3,2,3,3,4,3,3,2,2,3,3,2,3,2,2,2,2,4,3,3,3,3,3,4,4,3,2,3,3,3,2,4,2,237,27,29,31,33,33,33,25,26,4,4,4,5,4,3,3,4,4,5,4,4,4,4,5,4,4,5,4,4,5,5,4,4,5,5,5,5,5,4,5,4,5,5,5,5,5,4,5,4,5,5,3,4,4,3,3,4,4,4,4,4,4,4,3,3,75.7,85.8,87.3,81.7,84.4,5.0,419.9,84.0,B+,0,0,0.0,0.0,0.0,0
STD-019,علا حمدي,ola.hamdy.m@gmail.com,1,1,2,0,0,19,4,5,3,7,1,0,0,1,1,1,1,0,1,0,0,0,1,1,1,0,1,0,1,1,0,1,1,1,1,1,1,0,0,1,24,6,6,3,9,1,1,0,1,1,1,1,0,1,1,0,1,0,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,113,15,15,16,14,16,9,12,16,2,2,2,2,3,2,2,3,2,2,2,2,2,2,2,3,2,2,3,3,1,1,3,2,2,2,2,2,2,3,2,2,3,2,2,1,2,1,1,1,2,1,2,1,2,2,2,1,2,2,2,2,2,3,2,3,218,30,26,24,26,30,28,24,30,5,5,5,4,4,3,4,4,4,4,3,3,4,4,3,3,4,3,4,4,3,4,4,4,4,3,3,4,4,4,5,4,5,4,4,4,4,5,4,4,3,4,4,3,4,3,3,4,3,4,5,4,5,4,4,4,78.0,76.4,87.2,85.0,100.0,15.0,441.6,88.3,A,0,0,0.0,0.0,0.0,0
STD-020,نجلاء سامي,naglaa.samy27@gmail.com,1,1,2,0,0,22,6,6,2,8,1,1,0,1,1,1,1,0,1,1,1,1,0,1,1,1,1,0,1,1,0,1,1,1,0,1,0,0,1,1,24,7,6,3,8,1,0,0,1,1,1,1,0,1,0,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,126,16,13,17,16,17,17,14,16,2,3,2,2,2,3,2,3,3,1,3,1,1,1,3,1,2,4,2,3,2,1,1,3,3,2,2,4,4,3,3,2,2,1,2,2,4,4,2,2,2,1,3,2,1,1,3,3,1,3,3,1,2,3,2,2,230,27,27,26,29,30,30,29,32,4,4,4,4,4,4,3,4,3,3,3,5,4,5,4,5,2,4,3,4,4,4,5,5,3,3,5,4,5,3,4,4,5,4,5,5,5,4,4,4,3,5,4,4,4,5,5,3,4,5,5,5,5,4,4,4,83.1,78.0,84.9,94.2,93.8,15.0,449.0,89.8,A,0,0,0.0,0.0,0.0,0
STD-021,فاطمة علي,fatma.ali.k2@gmail.com,2,1,1,0,0,10,4,2,2,2,1,0,0,1,0,1,1,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,16,4,3,4,5,1,0,1,1,1,1,1,0,1,0,0,0,1,0,1,0,1,0,0,1,1,0,1,1,1,0,0,1,0,0,212,23,27,31,28,28,24,21,30,4,3,3,3,4,3,3,5,3,3,4,4,4,4,4,5,5,4,4,4,5,4,4,5,3,3,4,5,4,5,4,3,4,4,4,3,4,4,3,3,3,4,3,3,3,3,3,3,3,4,5,4,4,5,4,4,218,27,22,27,27,25,30,29,31,4,3,4,4,4,4,4,3,3,3,3,3,4,3,3,5,3,4,4,4,4,4,4,5,3,3,4,4,4,3,3,4,4,3,4,4,4,4,4,5,4,5,4,4,4,5,4,4,4,5,4,4,5,4,5,4,31.5,33.0,59.2,71.7,72.5,0.0,267.9,53.6,F,1,1,0.0,0.0,0.0,2
STD-022,زينب عبدالله,zeinab.abdallah6@gmail.com,2,1,1,0,0,12,3,2,4,3,1,0,0,1,0,1,1,1,0,0,0,0,1,1,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,1,13,4,4,1,4,1,0,0,1,0,1,1,0,1,0,0,1,0,1,1,0,0,0,0,1,0,1,0,0,1,1,0,0,0,1,188,22,26,22,21,26,26,19,26,3,4,3,2,4,3,3,4,5,3,3,3,3,5,4,3,3,4,3,2,3,2,3,2,3,3,4,4,3,4,3,4,4,4,4,5,4,3,2,4,5,3,2,3,3,2,3,4,2,3,3,4,5,4,3,4,174,20,24,27,23,20,19,20,21,4,2,3,3,3,2,3,4,5,3,3,3,3,3,3,4,3,4,5,4,4,3,3,4,4,3,2,4,2,2,2,4,3,4,3,4,3,3,3,2,2,2,2,2,4,3,3,4,2,4,2,2,3,3,4,3,39.1,47.6,28.8,37.5,43.5,0.0,196.5,39.3,F,1,1,1.0,1.0,1.0,5
STD-023,هبة الله ماجد,heba.maged31@gmail.com,2,1,1,0,0,10,3,2,2,3,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,1,1,0,0,0,0,0,1,1,0,0,0,1,0,1,14,4,3,2,5,1,0,0,0,0,1,1,0,1,1,0,0,0,0,1,0,1,1,0,1,1,0,1,0,1,1,0,0,0,1,161,19,15,22,19,25,20,21,20,3,3,3,2,2,3,3,2,2,1,3,2,3,2,4,3,3,4,3,3,2,3,3,1,3,3,3,3,4,3,4,4,4,3,3,3,2,2,2,3,4,4,2,3,3,3,3,3,4,4,2,3,3,2,4,2,169,25,20,16,19,24,22,20,23,3,3,3,4,4,4,4,4,2,3,4,2,2,3,1,2,2,3,3,2,3,2,2,4,3,2,4,2,4,3,4,4,2,3,4,2,4,3,2,4,4,3,4,3,3,3,2,2,3,3,3,4,4,3,2,4,56.8,62.6,47.3,52.3,67.0,10.0,296.0,59.2,D,0,0,0.0,1.0,0.0,1
STD-024,ندى رمضان,nada.ramadan.h@gmail.com,2,1,1,0,0,15,5,3,2,5,1,1,0,1,0,1,1,1,0,1,0,0,0,0,1,0,1,0,1,0,1,0,1,0,1,1,0,0,0,1,18,6,3,2,7,1,0,0,1,0,1,1,0,1,0,1,0,1,0,1,1,1,0,1,1,1,0,1,1,1,0,0,0,1,1,147,21,20,19,15,21,14,21,16,3,3,3,3,3,3,3,3,3,3,2,3,3,3,3,3,3,3,2,2,3,2,3,2,2,2,2,2,3,3,3,3,3,3,3,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,2,2,2,2,3,2,196,21,21,24,29,30,21,22,28,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,5,4,4,4,4,4,5,4,5,3,3,3,3,3,3,3,3,3,3,3,4,3,3,4,4,4,4,4,4,4,47.0,48.0,68.9,80.5,86.9,0.0,331.3,66.3,C,1,1,0.0,0.0,0.0,2
STD-025,روان كمال,rawan.kamal18@gmail.com,2,1,1,0,0,11,2,2,3,4,0,0,1,1,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,1,0,0,0,1,13,4,2,2,5,1,0,1,1,1,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,1,1,165,19,25,20,18,21,19,24,19,2,3,2,3,3,3,3,4,3,5,4,2,4,3,4,3,3,2,3,3,2,3,2,3,2,4,2,2,3,2,3,3,4,3,3,2,2,3,3,3,3,3,3,3,2,4,5,3,4,2,3,2,2,2,4,4,210,25,30,28,24,24,27,25,27,4,4,3,4,3,4,3,4,5,4,4,4,5,4,3,3,4,5,5,4,4,3,4,3,3,4,3,4,3,2,2,5,4,4,4,4,4,4,3,4,5,3,4,3,4,3,3,4,4,5,4,3,4,3,4,4,48.4,82.7,33.6,56.8,63.1,0.0,284.6,56.9,D,1,0,1.0,0.0,0.0,2
STD-026,جنى هشام,ganna.hesham4@gmail.com,2,1,1,0,0,17,6,4,1,6,1,0,0,1,0,1,1,0,0,0,1,1,0,0,1,0,1,1,1,1,1,0,0,1,1,1,1,0,0,1,17,5,3,2,7,1,0,0,1,0,1,1,0,0,1,0,1,1,0,1,1,1,0,0,1,0,0,1,1,1,1,0,0,1,1,186,21,24,21,25,27,21,25,22,3,3,3,3,3,3,3,3,3,3,4,4,4,3,3,3,3,3,3,3,3,4,3,4,4,3,3,4,4,4,4,4,4,3,4,3,3,3,3,3,3,3,3,3,4,4,3,4,4,3,3,3,3,4,3,3,248,32,27,33,28,33,29,33,33,4,5,5,4,5,5,4,4,4,4,4,3,4,4,5,5,4,5,5,5,4,4,4,4,4,4,4,4,5,4,5,5,5,4,5,4,4,4,4,5,4,4,5,4,5,5,5,5,4,4,5,5,5,5,4,5,65.0,71.1,77.2,74.8,31.4,10.0,329.5,65.9,C,0,0,0.0,0.0,1.0,1
STD-027,بسمة نبيل,basma.nabil.r@gmail.com,2,1,1,0,0,13,3,3,2,5,1,0,0,1,0,0,1,0,1,1,0,0,0,1,1,0,1,0,0,1,1,0,1,1,1,0,0,0,0,0,17,6,4,2,5,1,0,0,1,1,1,1,1,0,0,1,1,0,0,0,1,1,0,1,1,0,1,1,0,1,1,0,0,0,1,125,17,16,15,21,12,11,14,19,2,3,2,3,2,2,3,2,3,3,1,3,2,2,2,3,2,2,1,2,3,3,3,4,3,2,3,3,1,3,1,1,2,2,2,2,1,1,2,1,2,2,3,2,2,1,3,2,1,3,3,2,2,3,3,3,136,17,18,15,18,19,19,17,13,2,3,3,2,3,1,3,3,2,2,3,3,3,2,3,3,3,1,2,1,2,4,3,3,2,2,2,2,3,2,3,3,3,3,2,2,3,2,3,3,3,3,2,2,3,3,2,2,3,3,2,1,1,3,1,2,64.5,73.2,73.8,69.5,69.1,15.0,365.1,73.0,C+,0,0,0.0,0.0,0.0,0
STD-028,ملك أيمن,malak.ayman50@gmail.com,2,1,1,0,0,16,6,2,2,6,1,0,1,1,0,1,1,0,0,1,0,0,0,0,1,1,1,0,1,0,1,0,1,0,1,1,0,0,1,1,21,5,5,3,8,1,0,0,1,0,1,1,1,1,1,1,1,0,1,1,0,1,0,1,1,0,0,1,1,1,1,1,0,1,1,219,26,31,29,31,20,29,22,31,4,4,3,4,4,3,4,5,5,4,5,4,3,5,4,5,4,3,4,5,4,5,5,4,3,5,5,4,2,3,3,3,4,3,2,5,4,4,5,3,4,4,3,3,4,3,2,4,3,5,5,5,3,5,4,4,213,30,25,26,25,27,26,30,24,4,4,4,5,3,5,5,3,3,4,4,4,4,3,3,3,4,4,5,4,3,3,3,3,5,3,3,5,3,4,5,3,3,4,5,3,5,4,3,5,3,3,5,4,4,5,4,5,3,3,3,4,4,3,4,3,66.5,64.2,44.0,72.5,67.1,10.0,324.3,64.9,D+,0,0,1.0,0.0,0.0,1
STD-029,تقى شريف,toqa.sherif23@gmail.com,2,1,1,0,0,22,6,5,3,8,1,0,0,1,1,1,1,0,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1,0,0,1,0,1,21,6,3,5,7,1,0,1,1,0,1,1,1,0,1,0,1,0,1,1,1,1,0,1,1,1,0,1,0,1,1,0,1,1,1,148,18,14,15,18,22,22,19,20,2,3,2,3,3,3,2,1,3,1,3,2,2,2,2,1,2,3,1,3,3,3,2,2,3,3,2,3,2,4,3,3,3,4,3,4,2,3,4,3,3,3,3,3,3,2,2,3,3,4,3,3,2,2,3,3,159,16,24,21,16,19,22,17,24,2,2,2,2,3,3,2,3,3,4,3,3,4,4,4,2,3,3,3,3,3,3,2,3,2,2,2,2,2,3,3,2,3,3,3,3,3,4,3,2,3,4,2,3,2,3,3,2,2,3,4,4,4,3,3,3,56.4,51.4,77.7,69.2,66.5,0.0,321.2,64.2,D+,1,1,0.0,0.0,0.0,2
STD-030,لجين سمير,logain.samir.a@gmail.com,2,1,1,0,0,12,4,2,2,4,1,0,1,0,0,1,1,0,0,0,0,0,0,0,1,1,1,0,1,0,1,0,1,0,1,0,0,0,0,1,17,5,4,2,6,1,0,0,1,0,1,1,0,0,0,0,1,0,1,1,1,1,0,0,1,1,0,1,1,1,0,1,0,1,1,183,23,20,21,27,26,22,20,24,3,4,3,3,3,4,3,3,3,2,3,3,3,3,3,3,3,3,3,3,3,4,3,4,4,4,4,4,4,4,4,4,3,4,3,3,4,3,3,3,3,3,3,2,3,3,3,3,3,3,3,4,4,4,3,3,181,23,19,21,27,23,20,25,23,3,4,4,3,3,3,3,3,2,2,3,3,3,3,3,3,3,3,3,3,3,4,4,4,3,4,4,4,3,4,3,3,4,3,3,3,3,2,3,3,3,3,4,3,3,4,4,3,4,4,3,3,3,4,3,3,68.4,80.0,68.3,58.7,88.5,15.0,378.9,75.8,B,0,0,0.0,1.0,0.0,1
STD-031,ياسمين وائل,yasmin.wael37@gmail.com,2,1,1,0,0,20,6,4,3,7,1,1,0,1,0,1,1,0,0,0,1,1,0,0,1,0,1,1,1,1,1,0,1,1,1,1,0,1,1,1,19,5,3,2,9,1,0,0,1,1,1,1,0,0,1,0,1,0,0,1,1,1,1,1,1,1,0,1,1,1,0,0,0,1,1,166,22,21,22,19,18,15,26,23,3,3,3,3,4,3,3,3,2,4,2,3,4,3,3,2,4,3,4,2,4,2,3,3,2,4,2,3,3,2,2,2,3,3,3,1,2,2,2,2,3,3,4,4,4,5,3,2,4,4,4,3,3,3,2,4,172,23,27,19,19,19,22,22,21,3,3,4,4,3,3,3,4,4,3,4,3,4,5,3,2,4,3,2,3,2,2,2,3,3,3,3,3,3,2,2,4,3,3,2,3,2,3,4,4,3,3,3,3,3,3,3,3,4,3,2,2,2,5,5,2,79.0,79.2,60.5,68.0,74.4,20.0,381.1,76.2,B,0,0,0.0,0.0,0.0,0
STD-032,حبيبة عصام,habiba.essam11@gmail.com,2,1,1,0,0,16,4,2,3,7,1,0,0,1,1,1,1,0,0,0,1,0,0,1,1,0,0,1,1,1,0,0,1,1,1,0,1,0,0,1,20,4,5,2,9,1,1,1,1,1,1,1,0,1,1,0,0,0,0,1,1,1,0,1,1,0,1,1,1,1,0,0,0,1,1,166,18,24,17,23,18,25,21,20,3,3,2,3,2,2,3,4,3,4,3,3,4,3,3,2,3,2,2,2,3,3,3,4,3,3,4,3,2,3,3,3,2,3,2,4,4,3,4,4,3,3,3,3,2,3,3,3,4,3,3,3,2,3,3,3,202,25,25,25,28,22,25,27,25,4,3,3,3,4,5,3,3,4,5,3,3,4,3,4,3,4,3,4,4,3,3,5,4,3,5,4,4,3,4,3,4,2,3,3,3,3,4,4,4,4,3,3,4,4,4,4,4,4,4,3,4,4,4,3,3,63.4,50.2,78.9,85.4,84.3,15.0,377.2,75.4,B,0,1,0.0,0.0,0.0,1
STD-033,مها رضا,maha.reda.m@gmail.com,2,1,1,0,0,20,3,4,5,8,1,0,0,1,1,1,1,1,1,0,0,1,1,1,1,0,1,0,1,1,0,0,1,1,1,0,0,1,1,1,22,6,5,3,8,1,0,0,1,0,1,1,1,1,1,1,1,0,1,1,0,1,0,1,1,1,1,1,1,1,1,0,0,1,1,162,22,24,21,16,17,25,18,19,2,3,3,4,4,3,3,3,3,4,4,3,3,4,2,3,2,4,3,3,4,2,2,2,3,3,2,2,2,2,3,2,3,2,3,4,4,3,4,3,4,3,2,3,3,3,2,2,3,2,3,3,2,3,3,3,190,23,29,24,21,22,25,23,23,4,4,3,4,2,4,2,4,4,3,5,4,5,4,4,3,3,3,4,4,3,2,3,4,3,3,3,3,3,4,3,3,3,2,4,3,4,4,4,3,3,4,4,3,3,3,3,3,4,3,4,3,4,2,4,3,72.6,79.6,72.5,72.4,81.3,20.0,398.4,79.7,B,0,0,0.0,0.0,0.0,0
STD-034,داليا منير,dalia.mounir66@gmail.com,2,1,1,0,0,21,5,6,3,7,1,1,0,1,1,1,1,0,1,1,1,1,0,1,1,0,1,0,1,1,1,0,1,0,1,0,1,1,0,1,19,6,4,2,7,1,1,1,1,0,1,1,0,0,0,1,1,0,0,1,1,1,0,1,1,0,0,0,1,1,1,0,1,1,1,157,22,18,23,20,23,20,16,15,4,2,2,4,2,4,4,3,4,2,2,2,2,3,3,2,2,4,4,4,4,4,3,2,3,3,2,3,4,2,4,4,3,3,3,3,2,3,3,3,4,2,2,2,2,2,4,2,2,3,3,2,3,1,1,2,168,23,22,21,18,24,20,22,18,3,4,3,3,4,3,3,3,2,3,4,4,3,3,3,3,4,3,4,2,2,2,2,2,3,3,3,3,3,4,3,4,3,3,4,4,2,3,4,2,2,3,2,3,4,3,3,4,3,2,2,1,3,4,4,2,53.1,62.8,69.7,70.9,78.9,10.0,345.4,69.1,C,1,1,0.0,0.0,0.0,2
